stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.555227 s]:	received 1006360 bytes....
[1556527277.555503 s]:	received 1013600 bytes....
[1556527277.555536 s]:	received 1015048 bytes....
[1556527277.555585 s]:	received 1016496 bytes....
[1556527277.555887 s]:	received 1020840 bytes....
[1556527277.556233 s]:	received 1025184 bytes....
[1556527277.556278 s]:	received 1029528 bytes....
[1556527277.556315 s]:	received 1030976 bytes....
[1556527277.556618 s]:	received 1035320 bytes....
[1556527277.557055 s]:	received 1043512 bytes....
[1556527277.557073 s]:	received 1045456 bytes....
[1556527277.557475 s]:	received 1049800 bytes....
[1556527277.557553 s]:	received 1055592 bytes....
[1556527277.557622 s]:	received 1057040 bytes....
[1556527277.558063 s]:	received 1061384 bytes....
[1556527277.558487 s]:	received 1069576 bytes....
[1556527277.558513 s]:	received 1071520 bytes....
[1556527277.558914 s]:	received 1078760 bytes....
[1556527277.558949 s]:	received 1083104 bytes....
[1556527277.558981 s]:	received 1084552 bytes....
[1556527277.559290 s]:	received 1088896 bytes....
[1556527277.559502 s]:	received 1093240 bytes....
[1556527277.559549 s]:	received 1096136 bytes....
[1556527277.559920 s]:	received 1100480 bytes....
[1556527277.560362 s]:	received 1107720 bytes....
[1556527277.560398 s]:	received 1112064 bytes....
[1556527277.560442 s]:	received 1113512 bytes....
[1556527277.560518 s]:	received 1114960 bytes....
[1556527277.560953 s]:	received 1119304 bytes....
[1556527277.561006 s]:	received 1125096 bytes....
[1556527277.561314 s]:	received 1129440 bytes....
[1556527277.561646 s]:	received 1130888 bytes....
[1556527277.562012 s]:	received 1135232 bytes....
[1556527277.565125 s]:	received 1141024 bytes....
[1556527277.565906 s]:	received 1145368 bytes....
[1556527277.566215 s]:	received 1146816 bytes....
[1556527277.573568 s]:	received 1151160 bytes....
[1556527277.574487 s]:	received 1152608 bytes....
[1556527277.574573 s]:	received 1154056 bytes....
[1556527277.581292 s]:	received 1158400 bytes....
[1556527277.581991 s]:	received 1159848 bytes....
[1556527277.587469 s]:	received 1161296 bytes....
[1556527277.591466 s]:	received 1165640 bytes....
[1556527277.593851 s]:	received 1167088 bytes....
[1556527277.594178 s]:	received 1168536 bytes....
[1556527277.597527 s]:	received 1169984 bytes....
[1556527277.597579 s]:	received 1171432 bytes....
[1556527277.597661 s]:	received 1172880 bytes....
[1556527277.597779 s]:	received 1174328 bytes....
[1556527277.597982 s]:	received 1175776 bytes....
[1556527277.602143 s]:	received 1183968 bytes....
[1556527277.602203 s]:	received 1187360 bytes....
[1556527277.602265 s]:	received 1188808 bytes....
[1556527277.602355 s]:	received 1190256 bytes....
[1556527277.602418 s]:	received 1191704 bytes....
[1556527277.602494 s]:	received 1193152 bytes....
[1556527277.602573 s]:	received 1194600 bytes....
[1556527277.602620 s]:	received 1196048 bytes....
[1556527277.602716 s]:	received 1197496 bytes....
[1556527277.602796 s]:	received 1198944 bytes....
[1556527277.602877 s]:	received 1200392 bytes....
[1556527277.602931 s]:	received 1201840 bytes....
[1556527277.605831 s]:	received 1206184 bytes....
[1556527277.608845 s]:	received 1210528 bytes....
